source,target,weight
ANAKIN,BERU,1
ANAKIN,C-3PO,3
ANAKIN,CAPTAIN TYPHO,2
ANAKIN,CLIEGG,2
ANAKIN,COUNT DOOKU,2
ANAKIN,JAR JAR,3
ANAKIN,JOBAL,1
ANAKIN,MACE WINDU,1
ANAKIN,NUTE GUNRAY,1
ANAKIN,OBI-WAN,13
ANAKIN,OWEN,3
ANAKIN,PADME,16
ANAKIN,POGGLE,1
ANAKIN,R2-D2,7
ANAKIN,RUWEE,3
ANAKIN,SHMI,1
ANAKIN,SIO BIBBLE,1
ANAKIN,SOLA,1
ANAKIN,SUN RIT,1
ANAKIN,WATTO,1
ANAKIN,YODA,1
BAIL ORGANA,EMPEROR,2
BAIL ORGANA,JAR JAR,1
BAIL ORGANA,KI-ADI-MUNDI,1
BAIL ORGANA,MACE WINDU,2
BAIL ORGANA,OBI-WAN,1
BAIL ORGANA,SENATOR ASK AAK,1
BAIL ORGANA,YODA,2
BERU,C-3PO,1
BERU,CLIEGG,1
BERU,OWEN,1
BERU,PADME,1
BOBA FETT,JANGO FETT,3
BOBA FETT,OBI-WAN,1
BOBA FETT,TAUN WE,2
C-3PO,CLIEGG,1
C-3PO,OWEN,2
C-3PO,PADME,5
C-3PO,R2-D2,3
CAPTAIN TYPHO,JAR JAR,1
CAPTAIN TYPHO,OBI-WAN,2
CLIEGG,OWEN,2
CLIEGG,PADME,2
COUNT DOOKU,EMPEROR,1
COUNT DOOKU,JANGO FETT,1
COUNT DOOKU,MACE WINDU,2
COUNT DOOKU,NUTE GUNRAY,1
COUNT DOOKU,OBI-WAN,2
COUNT DOOKU,PADME,3
COUNT DOOKU,POGGLE,1
COUNT DOOKU,SUN RIT,1
COUNT DOOKU,YODA,2
EMPEROR,JAR JAR,2
EMPEROR,KI-ADI-MUNDI,1
EMPEROR,MACE WINDU,2
EMPEROR,OBI-WAN,1
EMPEROR,ORN FREE TAA,2
EMPEROR,SENATOR ASK AAK,2
EMPEROR,YODA,2
JANGO FETT,OBI-WAN,1
JANGO FETT,TAUN WE,1
JAR JAR,MACE WINDU,1
JAR JAR,OBI-WAN,3
JAR JAR,ORN FREE TAA,1
JAR JAR,PADME,1
JAR JAR,SENATOR ASK AAK,1
JAR JAR,YODA,1
JOBAL,PADME,1
JOBAL,RUWEE,1
JOBAL,SOLA,2
KI-ADI-MUNDI,MACE WINDU,1
KI-ADI-MUNDI,PLO KOON,1
KI-ADI-MUNDI,YODA,1
LAMA SU,OBI-WAN,6
LAMA SU,TAUN WE,2
MACE WINDU,OBI-WAN,4
MACE WINDU,PADME,2
MACE WINDU,SENATOR ASK AAK,1
MACE WINDU,YODA,8
NUTE GUNRAY,OBI-WAN,1
NUTE GUNRAY,PADME,1
NUTE GUNRAY,POGGLE,2
NUTE GUNRAY,SUN RIT,2
OBI-WAN,PADME,2
OBI-WAN,PK-4,1
OBI-WAN,POGGLE,1
OBI-WAN,SENATOR ASK AAK,1
OBI-WAN,SUN RIT,1
OBI-WAN,TAUN WE,5
OBI-WAN,YODA,5
ORN FREE TAA,SENATOR ASK AAK,1
OWEN,PADME,4
PADME,POGGLE,1
PADME,R2-D2,7
PADME,RUWEE,1
PADME,SOLA,1
PADME,SUN RIT,1
PADME,YODA,1
POGGLE,SUN RIT,2
RUWEE,SOLA,1
SENATOR ASK AAK,YODA,1
