source,target,weight
ANAKIN,BOSS NASS,1
ANAKIN,BRAVO THREE,1
ANAKIN,BRAVO TWO,2
ANAKIN,C-3PO,3
ANAKIN,CAPTAIN PANAKA,2
ANAKIN,GREEDO,1
ANAKIN,JABBA,1
ANAKIN,JAR JAR,8
ANAKIN,JIRA,2
ANAKIN,KI-ADI-MUNDI,2
ANAKIN,KITSTER,3
ANAKIN,MACE WINDU,3
ANAKIN,OBI-WAN,5
ANAKIN,PADME,16
ANAKIN,QUI-GON,22
ANAKIN,R2-D2,16
ANAKIN,RABE,1
ANAKIN,RIC OLIE,4
ANAKIN,SEBULBA,2
ANAKIN,SHMI,7
ANAKIN,WALD,2
ANAKIN,WATTO,4
ANAKIN,YODA,3
BAIL ORGANA,EMPEROR,1
BAIL ORGANA,VALORUM,1
BOSS NASS,CAPTAIN PANAKA,1
BOSS NASS,JAR JAR,2
BOSS NASS,OBI-WAN,2
BOSS NASS,PADME,2
BOSS NASS,QUI-GON,2
BRAVO THREE,BRAVO TWO,2
BRAVO THREE,RIC OLIE,2
BRAVO TWO,RIC OLIE,4
C-3PO,KITSTER,1
C-3PO,PADME,2
C-3PO,QUI-GON,1
C-3PO,R2-D2,2
C-3PO,WATTO,1
CAPTAIN PANAKA,EMPEROR,3
CAPTAIN PANAKA,JAR JAR,7
CAPTAIN PANAKA,OBI-WAN,7
CAPTAIN PANAKA,PADME,7
CAPTAIN PANAKA,QUI-GON,9
CAPTAIN PANAKA,RIC OLIE,2
CAPTAIN PANAKA,SIO BIBBLE,3
DARTH MAUL,EMPEROR,3
DARTH MAUL,GENERAL CEEL,1
DARTH MAUL,NUTE GUNRAY,3
DARTH MAUL,RUNE,1
DOFINE,NUTE GUNRAY,1
DOFINE,TC-14,1
DOFINE,TEY HOW,1
EMPEROR,GENERAL CEEL,1
EMPEROR,JAR JAR,2
EMPEROR,NUTE GUNRAY,5
EMPEROR,PADME,1
EMPEROR,QUI-GON,1
EMPEROR,RUNE,3
EMPEROR,SIO BIBBLE,1
EMPEROR,VALORUM,2
FODE/BEED,JABBA,1
FODE/BEED,JAR JAR,2
FODE/BEED,PADME,1
GENERAL CEEL,JAR JAR,1
GENERAL CEEL,NUTE GUNRAY,1
GREEDO,QUI-GON,1
GREEDO,WALD,1
JABBA,JAR JAR,1
JABBA,PADME,1
JABBA,QUI-GON,1
JABBA,SEBULBA,1
JABBA,SHMI,1
JAR JAR,KITSTER,1
JAR JAR,OBI-WAN,12
JAR JAR,PADME,9
JAR JAR,QUI-GON,22
JAR JAR,RIC OLIE,1
JAR JAR,SEBULBA,2
JAR JAR,SHMI,3
JAR JAR,SIO BIBBLE,1
JAR JAR,TARPALS,2
JAR JAR,VALORUM,1
JAR JAR,WALD,1
JIRA,PADME,1
JIRA,QUI-GON,2
KI-ADI-MUNDI,MACE WINDU,3
KI-ADI-MUNDI,OBI-WAN,1
KI-ADI-MUNDI,QUI-GON,2
KI-ADI-MUNDI,RABE,1
KI-ADI-MUNDI,YODA,3
KITSTER,PADME,1
KITSTER,QUI-GON,2
KITSTER,R2-D2,2
KITSTER,SHMI,1
KITSTER,WALD,1
KITSTER,WATTO,1
MACE WINDU,OBI-WAN,2
MACE WINDU,QUI-GON,2
MACE WINDU,RABE,1
MACE WINDU,YODA,4
NUTE GUNRAY,PADME,1
NUTE GUNRAY,QUI-GON,1
NUTE GUNRAY,RUNE,8
NUTE GUNRAY,SIO BIBBLE,2
NUTE GUNRAY,TC-14,1
NUTE GUNRAY,TEY HOW,1
OBI-WAN,PADME,1
OBI-WAN,QUI-GON,26
OBI-WAN,RIC OLIE,3
OBI-WAN,SHMI,1
OBI-WAN,SIO BIBBLE,1
OBI-WAN,TC-14,1
OBI-WAN,YODA,3
PADME,QUI-GON,16
PADME,R2-D2,11
PADME,SEBULBA,2
PADME,SHMI,5
PADME,SIO BIBBLE,1
PADME,WATTO,3
PK-4,TC-14,1
QUI-GON,R2-D2,14
QUI-GON,RABE,1
QUI-GON,RIC OLIE,2
QUI-GON,SEBULBA,2
QUI-GON,SHMI,8
QUI-GON,SIO BIBBLE,2
QUI-GON,TC-14,1
QUI-GON,VALORUM,1
QUI-GON,WALD,2
QUI-GON,WATTO,6
QUI-GON,YODA,2
R2-D2,WATTO,3
RABE,YODA,1
RUNE,TEY HOW,2
SEBULBA,SHMI,1
