Source,Target,Type,Id,Label,Weight
ADMIRAL ACKBAR,C-3PO,Undirected,0,,1
ADMIRAL ACKBAR,HAN,Undirected,1,,1
ADMIRAL ACKBAR,LANDO,Undirected,2,,5
ADMIRAL ACKBAR,LEIA,Undirected,3,,1
ADMIRAL ACKBAR,LUKE,Undirected,4,,1
ADMIRAL ACKBAR,MON MOTHMA,Undirected,5,,1
ADMIRAL ACKBAR,WEDGE,Undirected,6,,1
C-3PO,ANAKIN,Undirected,7,,10
C-3PO,BAIL ORGANA,Undirected,8,,3
C-3PO,BERU,Undirected,9,,3
C-3PO,BIB FORTUNA,Undirected,10,,2
C-3PO,BIGGS,Undirected,11,,1
C-3PO,BOBA FETT,Undirected,12,,1
C-3PO,BOUSHH,Undirected,13,,2
C-3PO,CAPTAIN ANTILLES,Undirected,14,,1
C-3PO,CAPTAIN TYPHO,Undirected,15,,2
C-3PO,CHEWBACCA,Undirected,16,,38
C-3PO,CLIEGG,Undirected,17,,1
C-3PO,DARTH VADER,Undirected,18,,1
C-3PO,DERLIN,Undirected,19,,1
C-3PO,EMPEROR,Undirected,20,,2
C-3PO,HAN,Undirected,21,,51
C-3PO,JABBA,Undirected,22,,3
C-3PO,KITSTER,Undirected,23,,1
C-3PO,LANDO,Undirected,24,,8
C-3PO,LEIA,Undirected,25,,44
C-3PO,LUKE,Undirected,26,,29
C-3PO,MON MOTHMA,Undirected,27,,1
C-3PO,OBI-WAN,Undirected,28,,9
C-3PO,OWEN,Undirected,29,,4
C-3PO,PADME,Undirected,30,,12
C-3PO,QUI-GON,Undirected,31,,1
C-3PO,R2-D2,Undirected,32,,51
C-3PO,RED LEADER,Undirected,33,,1
C-3PO,RIEEKAN,Undirected,34,,1
C-3PO,WATTO,Undirected,35,,1
C-3PO,YODA,Undirected,36,,1
HAN,BOBA FETT,Undirected,37,,1
HAN,BOUSHH,Undirected,38,,1
HAN,CHEWBACCA,Undirected,39,,58
HAN,DARTH VADER,Undirected,40,,2
HAN,GREEDO,Undirected,41,,1
HAN,JABBA,Undirected,42,,1
HAN,LANDO,Undirected,43,,12
HAN,LEIA,Undirected,44,,64
HAN,LUKE,Undirected,45,,43
HAN,MON MOTHMA,Undirected,46,,1
HAN,OBI-WAN,Undirected,47,,10
HAN,R2-D2,Undirected,48,,19
HAN,RIEEKAN,Undirected,49,,3
HAN,ZEV,Undirected,50,,1
LANDO,BOBA FETT,Undirected,51,,2
LANDO,CHEWBACCA,Undirected,52,,15
LANDO,DARTH VADER,Undirected,53,,4
LANDO,LEIA,Undirected,54,,12
LANDO,LUKE,Undirected,55,,6
LANDO,MON MOTHMA,Undirected,56,,1
LANDO,R2-D2,Undirected,57,,3
LANDO,WEDGE,Undirected,58,,6
LEIA,BERU,Undirected,59,,1
LEIA,BIGGS,Undirected,60,,1
LEIA,BOBA FETT,Undirected,61,,1
LEIA,BOUSHH,Undirected,62,,1
LEIA,CHEWBACCA,Undirected,63,,41
LEIA,DARTH VADER,Undirected,64,,2
LEIA,DERLIN,Undirected,65,,1
LEIA,LUKE,Undirected,66,,26
LEIA,MON MOTHMA,Undirected,67,,1
LEIA,MOTTI,Undirected,68,,1
LEIA,OBI-WAN,Undirected,69,,1
LEIA,R2-D2,Undirected,70,,22
LEIA,RED LEADER,Undirected,71,,1
LEIA,RIEEKAN,Undirected,72,,4
LEIA,TARKIN,Undirected,73,,1
LUKE,ANAKIN,Undirected,74,,1
LUKE,BERU,Undirected,75,,3
LUKE,BIB FORTUNA,Undirected,76,,1
LUKE,BIGGS,Undirected,77,,4
LUKE,CAMIE,Undirected,78,,2
LUKE,CHEWBACCA,Undirected,79,,29
LUKE,DACK,Undirected,80,,3
LUKE,DARTH VADER,Undirected,81,,7
LUKE,DODONNA,Undirected,82,,1
LUKE,EMPEROR,Undirected,83,,3
LUKE,GOLD LEADER,Undirected,84,,1
LUKE,JABBA,Undirected,85,,2
LUKE,MON MOTHMA,Undirected,86,,1
LUKE,OBI-WAN,Undirected,87,,22
LUKE,OWEN,Undirected,88,,3
LUKE,R2-D2,Undirected,89,,29
LUKE,RED LEADER,Undirected,90,,3
LUKE,RED TEN,Undirected,91,,1
LUKE,WEDGE,Undirected,92,,4
LUKE,YODA,Undirected,93,,6
LUKE,ZEV,Undirected,94,,1
MON MOTHMA,BAIL ORGANA,Undirected,95,,2
MON MOTHMA,CHEWBACCA,Undirected,96,,1
MON MOTHMA,FANG ZAR,Undirected,97,,2
MON MOTHMA,GIDDEAN DANU,Undirected,98,,1
MON MOTHMA,PADME,Undirected,99,,2
MON MOTHMA,R2-D2,Undirected,100,,1
WEDGE,BIGGS,Undirected,101,,2
WEDGE,DODONNA,Undirected,102,,1
WEDGE,GOLD LEADER,Undirected,103,,1
WEDGE,JANSON,Undirected,104,,2
